nome;descricao;categoria
 Livros The Walking Dead-envio Imediato- Promoção 04 Livros ;MATERIAL DIGITAL Coleção de 04 livros, são os que estão nas fotosENVIO LOGO APÓS O PAGAMENTO SER APROVADOComo combino a entrega do produto?Ao terminar a sua compra, você receberá os dados do vendedor.Contate-o para combinar a data e o local da entrega do produto.O envio do produto é de forma imediataA qualidade é a nossa melhor garantia da fidelidade de nossos clientes.MRCS VENDAS ESTÁ A SUA DISPOSIÇÃO PARA ESCLARECER SUAS DÚVIDAS.;livro
 Livro - Coleção Harry Potter (7 Volumes) - Lacrado E Novo ;;livro
 It - A Coisa ;Produto Novo e Físico  Durante as férias escolares de 1958, em Derry, pacata cidadezinha do Maine, Bill, Richie, Stan, Mike, Eddie, Ben e Beverly aprenderam o real sentido da amizade, do amor, da confiança e... do medo. O mais profundo e tenebroso medo. Naquele verão, eles enfrentaram pela primeira vez a Coisa, um ser sobrenatural e maligno que deixou terríveis marcas de sangue em Derry. Quase trinta anos depois, os amigos voltam a se encontrar. Uma nova onda de terror tomou a pequena cidade. Mike Hanlon, o único que permanece em Derry, dá o sinal. Precisam unir forças novamente. A Coisa volta a atacar e eles devem cumprir a promessa selada com sangue que fizeram quando crianças. Só eles têm a chave do enigma. Só eles sabem o que se esconde nas entranhas de Derry. O tempo é curto, mas somente eles podem vencer a Coisa. Em 'It - A Coisa', clássico de Stephen King em nova edição, os amigos irão até o fim, mesmo que isso signifique ultrapassar os próprios limites.CaracterísticasTipo de Produto: LivroMedidas (cm): 23.00 x 16.00 x 5.20 cmIdiomas: PortuguêsAno: 2014Autor: Stephen KingISBN: 8560280944Editora: Suma de Letras BrasiEdição: 1ª Ed.Encadernação: BrochuraNº de Páginas: 1104Mais Informações: Tradutor: Regiane Winarski, Assunto: Terror e Sobrenatural, Origem: Nacional, Código de Barras: 9788560280940;livro
 Bibliocanto Organizador Separador De Livros ;"BIBLIOCANTO """"""""""""preço em promoçao!!!! tempo limitado!!!!!!SEPARADOR ORGANIZADOS DE LIVROS, ORGANIZADOS DE CDS, ORGANIZADOS DE DVD.CHAPARA # 18 MM. AÇO CARBONO COR BRANCA 180X100X80 MMenviamos 2 dias apos confirmaçao do pagamento... R$ 4,28 CADA PEÇAFRETE POR CONTA DO COMPRADOR!!!!ATENÇAO....NAO CAIA EM PEGADINHA!!!!!ANTES DE COMPRAR COM O CONCORRENTE COMPARE O PREÇO DO FRETE!!!!!!PEÇA COTAÇAO NO CAMPO DE PERGUNTAS E RESPOSTAS....ATENÇAO..FAZEMOS TAMBEM EM MEDIDAS ESPECIAS...PEÇA ORÇAMENTO TAMBEM NO CAMPO DE PERGUNTAS E RESPOSTAS...";livro
 Gravity Falls Journal 3 ;Produto Novo e Físico  Journal 3 brims with every page ever seen on the show plus all-new pages with monsters and secrets, notes from Dipper and Mabel, and the Author's full story. Fans of Gravity Falls will simply love this 288-page full-color jacketed hardcover version of Journal 3! Plus the book jacket doubles as an exclusive poster!CaracterísticasTipo de Produto: LivroIdiomas: InglêsAno: 2016Autor: Alex HirschISBN: 1484746694Editora: Disney Press - HEdição: 1ª Ed.Encadernação: Capa DuraNº de Páginas: 288Mais Informações: Assunto: Literatura, Origem: Importado, Código de Barras: 9781484746691;livro
 Nutri Ninja Auto Iq + Livro 220v ;Sabe-se que uma alimentação saudável consiste em frutas, legumes, folhas e grãos e suas propriedades nutritivas presentes no alimento integral, mas que dificilmente são aproveitadas e consumidas.Imagine, então poder aproveitar 100% dos alimentos de uma forma prática, fácil e incrivelmente deliciosa! Nutri Ninja AUTO-IQ é o ultra extrator de nutrientes que vai revelar o verdadeiro valor nutricional de frutas, verduras, legumes e grãos para você desfrutar de uma alimentação muito mais saudável e saborosa!Tudo isso graças à sua exclusiva tecnologia AUTO-IQ que oferece a combinação perfeita de movimentos e velocidades, enquanto suas poderosas lâminas Pro Extractor são projetadas para cortar, triturar e micronizar alimentos inteiros para extrair até os nutrientes escondidos em cascas, sementes e talos dos alimentos e oferecer para sua família uma alimentação mais saudável e surpreendentemente deliciosa.Nutri Ninja AUTO-IQ conta também com o exclusivo formato To-Go, que garante total facilidade e praticidade no preparo, porque sua jarra transforma-se em um prático copo para levar os benefícios da superalimentação com você! Assim você economiza, abrindo mão de comprar lanches e refeições, sem as vantagens dos superalimentos.Nutri Ninja é a solução funcional, que leva facilidade e praticidade para alimentar seu corpo e levar enormes benefícios para sua saúde e para a saúde da sua família!Você ainda conta com um exclusivo livro de receitas e dicas de alimentação para descobrir o universo dos superalimentos de uma forma deliciosa!Nutri Ninja AUTO-IQ conta com a qualidade Ninja, marca sinônimo de eficiência e praticidade nos Estados Unidos. Nutri Ninja AUTO-IQ é uma superexclusividade Polishop!;livro
 Outros Jeitos De Usar A Boca ;Produto NovoOutros jeitos de usar a boca é um livro de poemas sobre a sobrevivência. Sobre a experiência de violência, o abuso, o amor, a perda e a feminilidade. O volume é dividido em quatro partes, e cada uma delas serve a um propósito diferente. Lida com um tipo diferente de dor. Cura uma mágoa diferente. Outros jeitos de usar a boca transporta o leitor por uma jornada pelos momentos mais amargos da vida e encontra uma maneira de tirar delicadeza deles. Publicado inicialmente de forma independente por Rupi Kaur, poeta, artista plástica e performer canadense nascida na Índia e que também assina as ilustrações presentes neste volume , o livro se tornou o maior fenômeno do gênero nos últimos anos nos Estados Unidos, com mais de 1 milhão de exemplares vendidos.CaracterísticasAutor: Kaur,RupiPeso: 0.24I.S.B.N.: 9788542209303Altura: 20.800000Largura: 14.000000Profundidade: 1.100000Número de Páginas: 208Acabamento: 0Número da edição: 1Ano da edição: 2017País de Origem: Brasil;livro
 Caixa De Pássaros ;Produto NovoRomance de estreia de Josh Malerman, “Caixa de Pássaros” é um thriller psicológico tenso e aterrorizante, que explora a essência do medo. Uma história que vai deixar o leitor completamente sem fôlego mesmo depois de terminar de ler. Basta uma olhadela para desencadear um impulso violento e incontrolável que acabará em suicídio. Ninguém é imune e ninguém sabe o que provoca essa reação nas pessoas. Cinco anos depois do surto ter começado, restaram poucos sobreviventes, entre eles Malorie e dois filhos pequenos. Ela sonha em fugir para um local onde a família possa ficar em segurança, mas a viagem que tem pela frente é assustadora: uma decisão errada e eles morrerão.CaracterísticasAutor: Malerman,JoshPeso: 0.245I.S.B.N.: 9788580576528Altura: 24Largura: 17Profundidade: 1Número de Páginas: 272Idioma: PortuguêsAcabamento: BrochuraNúmero da edição: 1Ano da edição: 2015País de Origem: BrasilSegmento: Ficção - Histórias inquietantes - Suspense;livro
 Extraordinario ;Produto Novo e Físico  August Pullman, o Auggie, nasceu com uma síndrome genética cuja sequela é uma severa deformidade facial, que lhe impôs diversas cirurgias e complicações médicas. Por isso, ele nunca havia frequentado uma escola de verdade - até agora. Todo mundo sabe que é difícil ser um aluno novo, mais ainda quando se tem um rosto tão diferente. Prestes a começar o quinto ano em um colégio particular de Nova York, Auggie tem uma missão nada fácil pela frente - convencer os colegas de que, apesar da aparência incomum, ele é um menino igual a todos os outros.CaracterísticasTipo de Produto: LivroMedidas (cm): 23.00 x 16.00 x 1.70 cmIdiomas: PortuguêsAno: 2013Autor: R. J. PalacioISBN: 8580573017Editora: IntrinsecaEdição: 1ª Ed.Encadernação: BrochuraNº de Páginas: 320Mais Informações: Tradutor: Rachel Agavino, Assunto: Paradidáticos, Origem: Nacional, Código de Barras: 9788580573015;livro
 Box - Irmãos Maddox - 5 Livros  Edição Econômica ;Produto NovoO fenômeno de Belo Desastre continua nesta série de Jamie McGuire, que narra a excitante, romântica e por vezes volátil jornada dos Maddox rumo ao amor. Bela distração (Vol. 1 Irmãos Maddox) (308 págs) Cami Camlin é uma garota intensa e independente. Agora, cursando a faculdade e trabalhando como bartender no The Red Door, Cami não tem tempo para nada. Trenton Maddox era o rei da Universidade Eastern. Mas, depois de um trágico acidente virar sua vida de cabeça para baixo, ele deixa o campus para lidar com a culpa esmagadora. Justamente quando ele pensa que sua vida está voltando ao normal, nota Cami sozinha em uma mesa no Red Door. Cami acredita que não terá problemas para manter a amizade com Trenton no nível estritamente platônico. Mas, quando um Maddox se apaixona, é para sempre — mesmo que Cami possa ser a razão para que a já fragilizada família Maddox desmorone de vez. Bela redenção (Vol. 2 Irmãos Maddox) (308 págs) Liis Lindy é uma agente do FBI decidida a se casar apenas com o trabalho. Ela adora sua mesa, está em um relacionamento sério com seu laptop e sonha em ser cumprimentada pelo diretor depois de solucionar um caso difícil. O agente especial Thomas Maddox é arrogante e implacável, um dos melhores que o FBI tem a oferecer — e chefe de Liis. Quando Liis e Thomas são encarregados de uma missão em que precisam fingir ser um casal, a atração entre eles chega ao limite — e os leva a questionar quanto realmente estavam fingindo. Belo sacrifício (Vol. 3 Irmãos Maddox) (294 págs) Falyn Fairchild abandonou seu carro, seus estudos e até seus pais. Filha do próximo governador do Colorado, ela está de volta à sua cidade natal, falida e trabalhando como garçonete em um café. No instante em que Taylor Maddox entra no café, Falyn sabe que ele trará problemas. Taylor é charmoso, não cumpre promessas e é lindo mesmo coberto de fuligem, fazendo dele tudo o que Falyn acredita que um bombeiro de sucesso deve ser. Mas ela não está interessada em se tornar mais uma em sua lista — e, para um dos Maddox, uma garota desinteressada é o desafio mais atraente de todos. Bela chama (Vol. 4 Irmãos Maddox) (336 págs) Ellison Edson chegou ao fundo do poço. O comportamento de Ellie finalmente chama a atenção de seus pais, mas não da maneira que ela esperava. Por causa disso, ela é afastada da fortuna da família e obrigada a se virar sozinha. Mas o redemoinho em que Ellie se encontra fica fora de controle, e ela comete um erro grave, que não vai ser capaz de reparar. Tyler Maddox é membro da Equipe Alpina de Bombeiros de Elite. Tão arrogante quanto charmoso, o estilo de vida nômade de Tyler torna mais fácil restringir seus relacionamentos a uma única noite. Quando ele conhece Ellie em uma festa, a personalidade forte e a atitude indiferente da garota o deixam fascinado. Mas, conforme seus sentimentos começam a se tornar intensos, Tyler se dá conta de que os demônios interiores da mulher que ele ama podem ser o inimigo mais poderoso que qualquer Maddox já enfrentou. Belo funeral (Vol. 5 Irmãos Maddox) (266 págs) Onze anos depois de fugir para se casar com Abby em Las Vegas, o agente especial Travis Maddox faz a justiça chegar até o chefão da máfia BennyCarlisi. Agora o clã mais antigo do crime organizado da cidade está determinado a se vingar, e todos os membros da família Maddox se tornam alvos em potencial. O segredo que Thomas e Travis guardaram por uma década será finalmente revelado, e pela primeira vez os Maddox vão se desentender. Com os irmãos brigando entre si e as esposas se vendo obrigadas a tomar partido, cada membro da família terá de fazer uma escolha: deixar o medo separá-los ou torná-los mais fortes.CaracterísticasAutor: Mcguire,JamiePeso: 1.95I.S.B.N.: 9788501301543Altura: 23.000000Largura: 16.000000Profundidade: 6.800000Número de Páginas: 1512Idioma: PortuguêsAcabamento: BrochuraNúmero da edição: 1Ano da edição: 2017Box/Coleção: Sim;livro
 Uma Pergunta Por Dia ;Produto NovoTodos os dias criamos uma imensa quantidade de registros em celulares, redes sociais e aplicativos. No entanto, quase nunca temos o hábito de retornar a eles. Às vezes podem parecer só besteiras, mas quantos desses relatos não mostrariam nosso crescimento e nossas mudanças em todos esses anos? Uma pergunta por dia convida você a registrar suas respostas a uma variedade de questões, das mais simples às mais complicadas, como “Para onde você quer fazer sua próxima viagem?” ou “Escreva a primeira linha da sua autobiografia”. Em cada página há espaço para cinco respostas, uma por ano, ao longo de cinco anos. Com o passar do tempo, quando voltar a um dia já anotado, o dono do diário encontrará seus pensamentos anteriores, num exercício divertido e construtivo de recordar e refletir. Depois das primeiras páginas fica impossível parar, e as possibilidades são infinitas: comece agora mesmo, não importa que dia é hoje  responda sozinho, com o melhor amigo ou com um grupo inteiro de amigos  um casal pode registrar junto suas respostas, cada um em seu livro ou num livro só. Respondendo, relendo, guardando para si ou compartilhando, a brincadeira funciona como uma verdadeira cápsula do tempo – termine um ano, inicie outro e redescubra a cada página um novo eu. • Ideal tanto para quem adora diários quanto para aqueles que têm dificuldade em mantê-los, pois inclui propostas de assuntos. • Perfeito para presentear. • Edição de luxo, com capa dura, fitilho e douração nas páginas.CaracterísticasAutor: Potter StylePeso: 0.32I.S.B.N.: 9788580578379Altura: 10.000000Largura: 15.300000Profundidade: 2.700000Número de Páginas: 368Idioma: PortuguêsAcabamento: Capa duraTradutor: Lourdes SetteNúmero da edição: 1Ano da edição: 2015Segmento: Ficção - Geral;livro
